Nama_Produk,Harga
Laptop Lenovo Thinkpad X13 Gen 5 Intel Core Ultra 135U RAM 16 GB SSD 512 GB Windows 11 Pro 13.3 WUXGA 100 SRGB,23999000
"Laptop Lenovo Yoga Book 9 Intel Core Ultra 9 285H RAM 32 GB SSD 1 TB Windows 11 + office Home Student 2x 14"" 2.8K WQXGA+ OLED 120 Hz",36999000
"Laptop ASUS ROG Strix G16 G614PH AMD RYZEN 9 8940HX RTX 5050 8 Gb RAm 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA",22099000
"Laptop ASUS TUF A14 FA401UH AMD Ryzen 7 260 RTX5050 VRAM 8GB RAM 32 GB SSD 512 GB Windows 11 + Office Home Student 14"" WQXGA 165Hz 100 Srgb",22949000
"Laptop ASUS TUF FA608UP AMD Ryzen 7 260 GeForce RTX 5070 8GB RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 16"" WUXGA 165Hz 100Srgb",23599000
XIAOMI MI GOOGLE TV 43 INCH A PRO QLED 4K 2026- L43MBAPID GARANSI RESMI,3739000
Laptop Acer Nitro V 15 Intel Core I7 13620H RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + office Home Student 15.6 Full HD 180Hz 100Srgb,17799000
"Laptop Acer Nitro V 15 Intel Core i5 13420H RTX 5050 8GB RAm 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6"" 180Hz 100 Srgb",15599000
"Laptopo Lenovo LOQ 15 Intel Core I7 13700HX GeForce RTX 5050 8GB RAM 12 GB SSD 512 GB Windows 11 + Office Home Student 15,5: Full HD",18499000
"Laptop Lenovo Legion 5i OLED Intel Core i7 14700HX GeFrce RTX5050 8Gb RAM 16 GB / 24 GB SSD 512 GB Windows 11 + Office Home Student 15,1"" WQXGA 165Hz",22999000
"Laptop Lenovo Thinkpad X1 2 in 1 Yoga G9 intel Core Ultra 7 165U RAM 32 GB SSD 1 TB Windows 11 Pro 14"" WUXGA 100Srgb",36299000
"Laptop Lenovo Thinkpad X1 Carbon G13 Touch Screen Intel Core Ultra 7 265U RAM 32 GB SSD 1 TB Windows 11 Pro 14"" WUXGA 100SrGB",38399000
"Laptop Lenovo Thinkpad X1 Carbon G13 Intel Core Ultra 7 265U RAM 32 GB SSD 1 TB Windows 11 Pro 14"" WUXGA 100SrGB",36699000
"Laptop Lenovo Thinkpad T14 G6 Intel Core Ultra 5 225H RAM 16 GB SSD 512 GB 14"" WUXGA Windows 11 Pro",23399000
"Laptop Lenovo Thinkpad E14 G6 AMD Ryzen 7 7735U RAM 16 GB SSD 1 Tb 14"" WUXGA Windows 11 Pro",18399000
"Laptop Lenovo Thinkpad E14 G6 AMD Ryzen 5 7535U RAM 8 GB SSD 512 GB 14"" WUXGA Windows 11 Pro",15099000
"Laptop Lenovo Thinkpad E14 G7 Intel COre Ultra 5 225U RAM 8 GB  SSD 512 GB  Windows 11 Pro 14"" WUXGA",17949000
LENOVO MONITOR 24 INCH L24D-4C IPS FHD 1080P 1MS 144HZ AMD FREESYNC ERGONOMIC SPEAKER USB-C,2179000
