Nama_Produk,Harga
"IBox Apple Macbook Pro 14 M4 10 Core GPU Memory 16 GB - 24 GB Storage 512 GB - 1 TB 10 Core CPU 14"" Inch",26199000
"INFINIX SMART TV 43X5 43"" FHD | 50x5 50"" 4K ANDROID DIGITAL DOLBY ULTRA SLIM",2679000
Laptop AXIOO HYPE 5 AMD X5-2 RYZEN 5 7430 RAM 8GB SSD 256GB W11 14.0FHD IPS,6149000
HP AIO 22 N100 8GB 512GB W11+OHS 21.5FHD WHT -DG0006D,5499000
"TECNO MEGABOOK T1 14 i9 13900HK 16GB 512GB 14"" 100srgb WINDOWS 11 HOME Silver",9499000
"Acer Nitro V 16 RTX4050 6GB/i5 14450HX 16gb 512ssd W11 + OHS 16"" WUXGA 165HZ 100SRGB 2Y+ADP",14199000
"MSI PRESTIGE 13 AI+ EVO OLED ULTRA 7 258V 32gb 1TB W11 + OHS 13.3"" 2.8K BLIT 2Y",20899000
"Acer Swift GO 14 AI SFG14 ULTRA 7 155H 16gb 1TB W11 + OHS 14"" 2.8K 100SRGB 2Y+ADP",13799000
AXIOO HYPE 7 AMD X7 RYZEN 7 5825 8GB 512GB DOS 14.0FHD IPS BLIT  BLU,6799000
AXIOO HYPE 5 AMD JKT48 X3 RYZEN 5 3500 8GB 256GB W11 14.0FHD IPS BLIT GRY,4949000
"Laptop Lenovo Ideapad Slim 3 14 AMD Ryzen 3 7320 8GB 512GB Windows 11 + Office (OHS) 14"" inch Full HD  Backlit",6199000
INFINIX INBOOK AIR PRO+ OLED I5 1334U 16GB 512GB W11 14.0 2.8K 120HZ 1KG GREY,9549000
"MSI MODERN 14 CORE 7 150U 16gb 512ssd W11 + OHS 14"" FHD IPS BLIT 2Y",10199000
"Lenovo Ideapad Slim 1 14 ATHLON SILVER 7120 8gb 256-512ssd W11 + OHS 14"" 2Y PREM",4819000
"Axioo Hype 5 AMD JKT48 X3 RYZEN 5 3500 8gb 256ssd W11 14"" FHD IPS BLIT LOLLIPOP EDITION (STICKER+PHOTOCARD+POSTCARD)",4949000
"IBOX APPLE MACBOOK AIR 13 M3 10C GPU 24GB 512GB 8C CPU 13.6""",18999000
"IBOX APPLE MACBOOK AIR 13 M2 8C GPU 16GB 256GB 8C CPU 13.6""",12999000
"Acer Swift 14 AI OLED SF14 ULTRA 7 258V 32gb 1TB W11 + OHS 14"" 2.8K 90HZ 2Y+ADP",19799000
Axioo Hype 5 G12 i5 1235 8/16gb 256/512ssd DOS/W11 14.0FHD IPS,5799000
"Acer Swift 14 AI OLED SF14 ULTRA 5 226V 16gb 1TB W11 + OHS 14"" WUXGA 60HZ BLUE 2Y+ADP",17849000
"Asus Zenbook S14 OLED TOUCH ULTRA 7 258V 32gb 1TB W11 + OHS 14"" 3K",25399000
"Asus Vivobook GO 14 E410KA N4500 4gb 256ssd W11 + OHS 14"" FHD BLIT",4299000
"Asus Vivobook 14 A1404VA i3 1315 8gb 512ssd W11 + OHS 14"" FHD IPS",6829000
printer epson ecotank l3250 all in one wifi,2719000
STARLINK STANDARD V4 DUAL WIFI SYSTEM W/ 2 LAN PORT RJ45,5015000
"Acer AIO Aspire C24 ULTRA 7 155U 8gb 512ssd W11 + OHS 23.8"" FHD 1Y",13199000
"Axioo Pongo 750 RTX4050 6GB/i7 13620H 16gb 512ssd W11 15.6"" FHD 144HZ IPS RGB",14349000
"Acer Swift GO 14 AI SFG14 SNAPDRAGON X PLUS X1P 42100 16gb 1TB W11 + OHS 14.5"" WUXGA 120Hz 100SRGB",9649000
"Advan AIO ONE N100 RAM 4gb / 8 GB SSD 128 GB / 256 GB W11 23.8"" FHD",3949000
"Asus Vivobook 14 A1404VA i7 1355 16gb 1TB W11 +O HS 14"" Fhd VIPS",11799000
"Acer AIO Aspire C24-1800 i3 1305 8gb 512ssd W11 + OHS 23.8"" FHD",7599000
"Lenovo Ideapad 5 2in1 14 i5 13420H 16gb 512ssd W11 + OHS 14"" WUXGA Pen",11749000
"Lenovo Ideapad 5 2in1 14 OLED i7 13620H 16gb 512ssd W11 + OHS 14"" WUXGA Pen",13849000
"Asus Vivobook GO 14 E1404FA RYZEN 5 7520 8gb 512ssd W11 + OHS 14"" Fhd IPS",7239000
"Asus Vivobook GO 14 E1404FA RYZEN 5 7520 16gb 512ssd W11 + OHS 14"" Fhd IPS",7849000
"HP Envy X360 14 OLED RYZEN 7 8840HS 32gb 1TB W11 + OHS 14"" 2.8k 120Hz BLIT PEN 2Y+ADP 2in1",18799000
"HP Pavilion Plus 14 OLED ULTRA 7 155H 32gb 1TB W11 + OHS 14"" 2.8K VRR 120Hz BLIT EVO 2Y",15699000
"Lenovo V14 G4 RYZEN 3 7320 8gb 256ssd W11 + OHS 14"" FHD",5199000
"Asus Vivobook Go 14 E410KA N4500 8gb 256ssd W11 + OHS 14"" FHD BLIT",4589000
"Axioo HYPE 5 AMD X3 RYZEN 5 3500 8gb 256ssd DOS/W11 14"" FHD IPS BLIT",4699000
"ASUS VIVOBOOK S 15 OLED S5507QA SNAPDRAGON X PLUS X1P 42100 16gb 1TB W11 + OHS 15.6"" 3K 120HZ",13119000
"Acer ASPIRE 5 SPIN ASP14 TOUCH CORE 5 120U 16gb 512ssd W11 + OHS 14"" WUXGA PEN 2in1",11099000
"HP PAVILION AERO 13 RYZEN 5 8640U 16gb 512ssd W11 + OHS 13.3"" WUXGA IPS 2Y + ADP",11749000
"HP PAVILION X360 14 TOUCH CORE 5 120U 16gb 512ssd W11 + OHS 14"" FHD IPS FP PEN 2Y + ADP",11999000
HP ENVY X360 14 OLED ULTRA 5 125U 16gb 512ssd W11 + OHS 14.0 2.8k 120Hz PEN 2Y + ADP 2in1 EVO,16099000
"HP PAVILION X360 14 TOUCH CORE 3 100U 8gb 512ssd W11 + OHS 14"" FHD IPS BLIT PEN 2Y + ADP",9499000
"Zyrex ULTRA INTEL N100 8gb 128+256ssd W11 14"" FHD BLIT METAL",3499000
"Axioo PONGO 760 V2 RTX4060 8GB/i7 13620H 16gb 512ssd W11 15"" FHD 144HZ IPS RGB 3Y",16949000
"Axioo HYPE 7 RYZEN 7 5700 8gb 512ssd 14"" FHD",6699000
"Acer SWIFT GO TOUCH SFG14 ULTRA 9 185H 32gb 1TB W11 + OHS 14"" 2.8k 100SRGB EVO 2Y + ADP",15699000
"Lenovo IDEAPAD SLIM 5 2in1 14 OLED Touch screen Intel Core i7 13620H 16gb 512ssd W11 + OHS 14"" WUXGA + Pen",13899000
"Lenovo IDEAPAD SLIM 5 OLED 14 i5 13420H 16gb 1 TB W11 + OHS 14"" WUXGA BLIT 2Y + 2ADP",11699000
"Acer SWIFT GO SFG14 ULTRA 5 125H 16gb 512ssd W11 + OHS 14"" 2.8K 100SRGB 2Y + ADP",11599000
"Acer PREDATOR HELIOS NEO 16 RTX4050 6GB/i7 14700HX 16gb 512ssd W11 + OHS 16"" WUXGA 180HZ SRGB100 4ZRGB",19099000
"Asus AIO A3202WBAK i3 1215 8gb 256ssd W11 21.5"" FHD",7099000
"Acer SWIFT GO OLED SFG14 ULTRA 7 155H 32gb 1TB W11 + OHS 14"" 2.8K 90hz EVO 2Y+ADP",14999000
"Acer ASPIRE SPIN ASP14 TOUCH ULTRA 7 155U 16gb 1 TB SSD W11 + OHS 14"" WUXGA PEN 2in1",14999000
Apple Iphone 13 128GB Garansi Resmi Ibox,8399000
Acer Aspire 14 Core 7 150U 16GB 512SSD W11+OHS WUXGA IPS,10099000
Acer Aspire 14 Core 5 120U 16GB 512SSD W11+OHS WUXGA Ips,8149000
Hp Envy X360 14 Oled Ultra 7 155U 16GB 1TBSSD W11+OHS 2.8K 120HZ 2Year,18299000
Acer Aio Aspire C22 1800 I3 1305U 8GB 512SSD W11+OHS 22 FHD,7349000
Laptop Axioo Hype 1 N4020 4GB 128SSD W11,2999000
Lenovo Ideapad 5 2in1 14IRU9 Oled Core 7 150U 16GB 512SSD W11+Ohs,14349000
Acer Swift Go Oled SFG14 Ultra 7 155H 16GB 512SSD W11+OHS 2.8K Evo,13899000
Acer Swift Go Oled SFG14 Ultra 5 125H 32GB 512SSD W11+OHS 2.8K Evo,12749000
Acer Swift Go SFG14 Ultra 5 125H 16GB 512SSD W11+OHS 2.8K QHD 100%Srgb,10599000
Lenovo Yoga 7 14IML9 2in1 Oled Ultra 7 155H 16GB 1TBSSD W11+OHS 2.8K,17599000
