Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link
HP 14,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"14.0”, HD (1366 x 768), TN",512GB SSD,46900,https://laptopmedia.com/laptop-specs/hp-14-10643/,https://www.amazon.com/exec/obidos/ASIN/B0FNQYS4P1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1255U,8GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), TN",512GB SSD,64900,https://laptopmedia.com/laptop-specs/hp-15-24930/,https://www.amazon.com/exec/obidos/ASIN/B0FKMRSM7V?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,48GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",2000GB SSD,79900,https://laptopmedia.com/laptop-specs/hp-15-24841/,https://www.amazon.com/exec/obidos/ASIN/B0FN7KZPK1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-1215U,32GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,64999,https://laptopmedia.com/laptop-specs/hp-17-21919/,https://www.amazon.com/exec/obidos/ASIN/B0FP6FR4WY?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i7-1355U,48GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.3”, HD+ (1600 x 900), TN",2000GB SSD,116900,https://laptopmedia.com/laptop-specs/hp-17-21914/,https://www.amazon.com/exec/obidos/ASIN/B0DPWTD3M6?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, Full HD (1920 x 1080), IPS",128GB SSD,28900,https://laptopmedia.com/laptop-specs/hp-14-10579/,https://www.amazon.com/exec/obidos/ASIN/B0FMSSPQ2C?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",512GB SSD,57999,https://laptopmedia.com/laptop-specs/hp-17-21811/,https://www.amazon.com/exec/obidos/ASIN/B0FVXCJ9SY?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,AMD Ryzen 7 7445HS,16GB RAM,"NVIDIA GeForce RTX 4050 (Laptop, 120W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,88999,https://laptopmedia.com/laptop-specs/hp-victus-15-2264/,https://www.amazon.com/exec/obidos/ASIN/B0FM3C1RZK?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Celeron N4120,8GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",128GB SSD,38900,https://laptopmedia.com/laptop-specs/hp-14-10384/,https://www.amazon.com/exec/obidos/ASIN/B0F4Z2H7LK?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,30999,https://laptopmedia.com/laptop-specs/hp-14-10360/,https://www.amazon.com/exec/obidos/ASIN/B0FH61CH5V?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 7 7730U,64GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,86999,https://laptopmedia.com/laptop-specs/hp-15-24360/,https://www.amazon.com/exec/obidos/ASIN/B0FJZL11FD?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,35900,https://laptopmedia.com/laptop-specs/hp-14-10261/,https://www.amazon.com/exec/obidos/ASIN/B0FLDP4YY2?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,37900,https://laptopmedia.com/laptop-specs/hp-14-10253/,https://www.amazon.com/exec/obidos/ASIN/B0FLDJWPFP?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), TN",512GB SSD,49999,https://laptopmedia.com/laptop-specs/hp-15-24287/,https://www.amazon.com/exec/obidos/ASIN/B0FJYKRMMJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,8GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",512GB SSD,44999,https://laptopmedia.com/laptop-specs/hp-15-23458/,https://www.amazon.com/exec/obidos/ASIN/B0FC6H7X3N?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,24GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",512GB SSD,54999,https://laptopmedia.com/laptop-specs/hp-15-23371/,https://www.amazon.com/exec/obidos/ASIN/B0FC5ZKFLY?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, Full HD (1920 x 1080), IPS",128GB SSD,33900,https://laptopmedia.com/laptop-specs/hp-14-9791/,https://www.amazon.com/exec/obidos/ASIN/B0FJ7L453K?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G8 / 255 G8,Intel Core i5-1135G7,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,59900,https://laptopmedia.com/laptop-specs/hp-250-g8-255-g8-116/,https://www.amazon.com/exec/obidos/ASIN/B0CNHZD9TM?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,AMD Ryzen 5 7520U,8GB RAM,AMD Radeon 610M,"17.3”, Full HD (1920 x 1080), IPS",512GB SSD,38900,https://laptopmedia.com/laptop-specs/hp-17-4930/,https://www.amazon.com/exec/obidos/ASIN/B0FB3MSP1N?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Pavilion Plus 14,AMD Ryzen 7 8845HS,16GB RAM,AMD Radeon 780M,"14.0″, 2.8K (2880 x 1800), 120 Hz, OLED",512GB SSD,109900,https://laptopmedia.com/laptop-specs/hp-pavilion-plus-14-270/,https://www.amazon.com/exec/obidos/ASIN/B0DJVRKVFW?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1215U,16GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, Full HD (1920 x 1080), TN",512GB SSD,43999,https://laptopmedia.com/laptop-specs/hp-15-4392/,https://www.amazon.com/exec/obidos/ASIN/B0DK4LNYH1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-12450H,8GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W, 6GB)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",512GB SSD,69900,https://laptopmedia.com/laptop-specs/hp-victus-15-1991/,https://www.amazon.com/exec/obidos/ASIN/B0DD7324VJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Celeron N4120,32GB RAM,Intel UHD Graphics 600,"15.6”, HD (1366 x 768), TN",512GB SSD,40999,https://laptopmedia.com/laptop-specs/hp-15-20002/,https://www.amazon.com/exec/obidos/ASIN/B0F3X6CB7F?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,82900,https://laptopmedia.com/laptop-specs/hp-15-19956/,https://www.amazon.com/exec/obidos/ASIN/B0FB3JTYR3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-1215U,64GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","17.3”, Full HD (1920 x 1080), IPS",512GB SSD,79999,https://laptopmedia.com/laptop-specs/hp-17-4376/,https://www.amazon.com/exec/obidos/ASIN/B0DDMKQJQV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1215U,64GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",4000GB SSD,105900,https://laptopmedia.com/laptop-specs/hp-15-25226/,https://www.amazon.com/exec/obidos/ASIN/B0DQXYW3Z4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
