Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link
HP ProBook 460 G11,Intel Core Ultra 5 125U,64GB RAM,Intel Graphics (4-Cores),"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,114995,https://laptopmedia.com/laptop-specs/hp-probook-460-g11-19/,https://www.amazon.com/exec/obidos/ASIN/B0FC53Y3CC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP OmniBook X Flip,AMD Ryzen AI 5 340,16GB RAM,AMD Radeon 840M,"16.0”, WUXGA (1920 x 1200), IPS",512GB SSD,75998,https://laptopmedia.com/laptop-specs/hp-omnibook-x-flip-43/,https://www.amazon.com/exec/obidos/ASIN/B0FF9RL9C5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Celeron N4500,8GB RAM,Intel UHD Graphics (Jasper Lake 16 EU),"15.6”, HD (1366 x 768), TN",512GB SSD,37999,https://laptopmedia.com/laptop-specs/hp-15-25284/,https://www.amazon.com/exec/obidos/ASIN/B0FLMMM3D6?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1335U,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,64999,https://laptopmedia.com/laptop-specs/hp-15-25268/,https://www.amazon.com/exec/obidos/ASIN/B0FWRXCPFJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1335U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,65999,https://laptopmedia.com/laptop-specs/hp-15-25262/,https://www.amazon.com/exec/obidos/ASIN/B0FWRX92J4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Pentium Gold 6405U,32GB RAM,Intel UHD Graphics,"15.6”, HD (1366 x 768), TN",4000GB SSD,92900,https://laptopmedia.com/laptop-specs/hp-15-25250/,https://www.amazon.com/exec/obidos/ASIN/B0FH292Z9T?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 14,AMD Ryzen 5 8640HS,16GB RAM,AMD Radeon 760M,"14.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,69900,https://laptopmedia.com/laptop-specs/hp-envy-x360-14-426/,https://www.amazon.com/exec/obidos/ASIN/B0FPVVBBT8?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 14,AMD Ryzen 7 8840HS,16GB RAM,AMD Radeon 780M,"14.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,79900,https://laptopmedia.com/laptop-specs/hp-envy-x360-14-410/,https://www.amazon.com/exec/obidos/ASIN/B0FPQRFCBT?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,AMD Ryzen 5 7530U,64GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, HD+ (1600 x 900), TN",2000GB SSD,77999,https://laptopmedia.com/laptop-specs/hp-17-22222/,https://www.amazon.com/exec/obidos/ASIN/B0DKYS3GH9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core Ultra 7 255U,32GB RAM,Intel Graphics (4-Cores),"17.3”, HD+ (1600 x 900), TN",1000GB SSD,88999,https://laptopmedia.com/laptop-specs/hp-17-22189/,https://www.amazon.com/exec/obidos/ASIN/B0FKPYDRCM?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Core i3-N305,32GB RAM,Intel UHD Graphics Xe 750 (32EU),"14.0”, HD (1366 x 768), TN",4000GB SSD,90900,https://laptopmedia.com/laptop-specs/hp-14-10655/,https://www.amazon.com/exec/obidos/ASIN/B0FNQXSVK7?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,64GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",2000GB SSD,92900,https://laptopmedia.com/laptop-specs/hp-15-24852/,https://www.amazon.com/exec/obidos/ASIN/B0FPCVSP5D?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,48GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",2000GB SSD,79900,https://laptopmedia.com/laptop-specs/hp-15-24847/,https://www.amazon.com/exec/obidos/ASIN/B0FPCXP8CC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1235U,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, HD (1366 x 768), TN",2000GB SSD,82999,https://laptopmedia.com/laptop-specs/hp-15-24822/,https://www.amazon.com/exec/obidos/ASIN/B0F7Q48GCB?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i5-1334U,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"17.3”, HD+ (1600 x 900), TN",2000GB SSD,95900,https://laptopmedia.com/laptop-specs/hp-17-22036/,https://www.amazon.com/exec/obidos/ASIN/B0DZCPS2M7?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",2000GB SSD,116900,https://laptopmedia.com/laptop-specs/hp-14-10608/,https://www.amazon.com/exec/obidos/ASIN/B0F8VLRKC2?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,31349,https://laptopmedia.com/laptop-specs/hp-14-10543/,https://www.amazon.com/exec/obidos/ASIN/B0FPY72QZB?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",512GB SSD,52900,https://laptopmedia.com/laptop-specs/hp-17-21695/,https://www.amazon.com/exec/obidos/ASIN/B0FH79RNTN?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1235U,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,102999,https://laptopmedia.com/laptop-specs/hp-15-24589/,https://www.amazon.com/exec/obidos/ASIN/B0F8QVXNSW?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,32GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,38949,https://laptopmedia.com/laptop-specs/hp-14-10435/,https://www.amazon.com/exec/obidos/ASIN/B0FM5N6JHN?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1215U,64GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",2000GB SSD,85999,https://laptopmedia.com/laptop-specs/hp-15-24427/,https://www.amazon.com/exec/obidos/ASIN/B0FG7Y6LWS?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i5-1334U,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"17.3”, HD+ (1600 x 900), TN",1000GB SSD,99900,https://laptopmedia.com/laptop-specs/hp-17-21639/,https://www.amazon.com/exec/obidos/ASIN/B0BMWFL1ZW?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,31999,https://laptopmedia.com/laptop-specs/hp-14-10315/,https://www.amazon.com/exec/obidos/ASIN/B0FSCXYFLP?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,40900,https://laptopmedia.com/laptop-specs/hp-14-10259/,https://www.amazon.com/exec/obidos/ASIN/B0FLDNFC2Y?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1335U,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,67999,https://laptopmedia.com/laptop-specs/hp-15-23948/,https://www.amazon.com/exec/obidos/ASIN/B0FVK8JN1V?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,32GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",2000GB SSD,78999,https://laptopmedia.com/laptop-specs/hp-15-23552/,https://www.amazon.com/exec/obidos/ASIN/B0FH6PMDMT?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Celeron N4120,16GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",128GB SSD,34900,https://laptopmedia.com/laptop-specs/hp-14-9901/,https://www.amazon.com/exec/obidos/ASIN/B0DJVY6KQT?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G8 / 255 G8,AMD Ryzen 5 5500U,64GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,64999,https://laptopmedia.com/laptop-specs/hp-250-g8-255-g8-129/,https://www.amazon.com/exec/obidos/ASIN/B0F29YMLPX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1334U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",512GB SSD,51900,https://laptopmedia.com/laptop-specs/hp-15-22228/,https://www.amazon.com/exec/obidos/ASIN/B0FK5FMRJ3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Pavilion 16,Intel Core 5 120U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0”, WUXGA (1920 x 1200), IPS",512GB SSD,61999,https://laptopmedia.com/laptop-specs/hp-pavilion-16-45/,https://www.amazon.com/exec/obidos/ASIN/B0FHXGTY31?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,33699,https://laptopmedia.com/laptop-specs/hp-14-9737/,https://www.amazon.com/exec/obidos/ASIN/B0FH4P13VZ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-12450H,16GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W, 6GB)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",512GB SSD,78900,https://laptopmedia.com/laptop-specs/hp-victus-15-2629/,https://www.amazon.com/exec/obidos/ASIN/B0DHF122QY?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP OmniBook 5,AMD Ryzen AI 7 350,16GB RAM,AMD Radeon 860M,"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,74000,https://laptopmedia.com/laptop-specs/hp-omnibook-5-22/,https://www.amazon.com/exec/obidos/ASIN/B0F8VJNNYB?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY 17,Intel Core Ultra 7 155H,32GB RAM,Intel Arc (8-Cores),"17.3”, 4K UHD (3840 x 2160), IPS",2000GB SSD,118999,https://laptopmedia.com/laptop-specs/hp-envy-17-4115/,https://www.amazon.com/exec/obidos/ASIN/B0D888BKJY?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-12450H,32GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W, 6GB)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,83500,https://laptopmedia.com/laptop-specs/hp-victus-15-1982/,https://www.amazon.com/exec/obidos/ASIN/B0F5PGB59W?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G8 / 255 G8,AMD Ryzen 5 5500U,32GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,54999,https://laptopmedia.com/laptop-specs/hp-250-g8-255-g8-45/,https://www.amazon.com/exec/obidos/ASIN/B0FCYX81H9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP EliteBook 840 G8,Intel Core i5-1135G7,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",2000GB SSD,118900,https://laptopmedia.com/laptop-specs/hp-elitebook-840-g8-220/,https://www.amazon.com/exec/obidos/ASIN/B0CRR31PPC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,AMD Ryzen 5 7530U,32GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, HD+ (1600 x 900), TN",1000GB SSD,71900,https://laptopmedia.com/laptop-specs/hp-17-7693/,https://www.amazon.com/exec/obidos/ASIN/B0DHRT9JQV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Celeron N4120,4GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD,24900,https://laptopmedia.com/laptop-specs/hp-14-4054/,https://www.amazon.com/exec/obidos/ASIN/B0CS9YW1JG?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1335U,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",4000GB SSD,95999,https://laptopmedia.com/laptop-specs/hp-15-25377/,https://www.amazon.com/exec/obidos/ASIN/B0FQCQCNB5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G9 / 255 G9,Intel Celeron N4500,16GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, Full HD (1920 x 1080), TN",1000GB SSD,81899,https://laptopmedia.com/laptop-specs/hp-250-g9-255-g9-561/,https://www.amazon.com/exec/obidos/ASIN/B0FBX88BCG?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,16GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",512GB SSD,49999,https://laptopmedia.com/laptop-specs/hp-15-25308/,https://www.amazon.com/exec/obidos/ASIN/B0FM5CLWCJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,89900,https://laptopmedia.com/laptop-specs/hp-15-25235/,https://www.amazon.com/exec/obidos/ASIN/B0FF9RK4SX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 14,AMD Ryzen 7 8840HS,16GB RAM,AMD Radeon 780M,"14.0”, WUXGA (1920 x 1200), IPS",4000GB SSD,109900,https://laptopmedia.com/laptop-specs/hp-envy-x360-14-414/,https://www.amazon.com/exec/obidos/ASIN/B0FPQXJ2H3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-N305,32GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,56998,https://laptopmedia.com/laptop-specs/hp-15-25132/,https://www.amazon.com/exec/obidos/ASIN/B0FWBC2W7B?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,AMD Ryzen 5 7530U,32GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, HD+ (1600 x 900), TN",1000GB SSD,66499,https://laptopmedia.com/laptop-specs/hp-17-22214/,https://www.amazon.com/exec/obidos/ASIN/B0DKYNVY11?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,AMD Ryzen 5 7530U,24GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, HD+ (1600 x 900), TN",2000GB SSD,88900,https://laptopmedia.com/laptop-specs/hp-17-22192/,https://www.amazon.com/exec/obidos/ASIN/B0DPZW97CP?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"14.0”, HD (1366 x 768), TN",1000GB SSD,52900,https://laptopmedia.com/laptop-specs/hp-14-10653/,https://www.amazon.com/exec/obidos/ASIN/B0FNQVT3CK?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,32GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",2000GB SSD,76900,https://laptopmedia.com/laptop-specs/hp-15-24845/,https://www.amazon.com/exec/obidos/ASIN/B0FN7Q7MSY?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core Ultra 7 255U,48GB RAM,Intel Graphics (4-Cores),"17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,110900,https://laptopmedia.com/laptop-specs/hp-17-22007/,https://www.amazon.com/exec/obidos/ASIN/B0FKMP5PL1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i5-1235U,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"17.3”, HD+ (1600 x 900), TN",512GB SSD,84999,https://laptopmedia.com/laptop-specs/hp-17-21962/,https://www.amazon.com/exec/obidos/ASIN/B0FG39M9KD?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Pentium Silver N5030,8GB RAM,Intel UHD Graphics 605,"14.0”, HD (1366 x 768), TN",256GB SSD,43999,https://laptopmedia.com/laptop-specs/hp-14-10490/,https://www.amazon.com/exec/obidos/ASIN/B0DT976CHG?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1255U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), TN",2000GB SSD,79900,https://laptopmedia.com/laptop-specs/hp-15-24633/,https://www.amazon.com/exec/obidos/ASIN/B0FRNSNWJH?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,39999,https://laptopmedia.com/laptop-specs/hp-14-10307/,https://www.amazon.com/exec/obidos/ASIN/B0FSCX79JY?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,36999,https://laptopmedia.com/laptop-specs/hp-14-10278/,https://www.amazon.com/exec/obidos/ASIN/B0FMXYBCB2?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,32GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",2000GB SSD,69999,https://laptopmedia.com/laptop-specs/hp-15-23384/,https://www.amazon.com/exec/obidos/ASIN/B0FJXJHGXV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-12450H,16GB RAM,"NVIDIA GeForce GTX 1650 (Laptop, 50W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,79900,https://laptopmedia.com/laptop-specs/hp-victus-15-134/,https://www.amazon.com/exec/obidos/ASIN/B0BC759B38?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Celeron N4120,4GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",128GB SSD,25900,https://laptopmedia.com/laptop-specs/hp-14-8402/,https://www.amazon.com/exec/obidos/ASIN/B0DG98VP58?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ProBook 440 G9,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,119900,https://laptopmedia.com/laptop-specs/hp-probook-440-g9-51/,https://www.amazon.com/exec/obidos/ASIN/B0BPQT36BS?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Stream 14,Intel Celeron N4020,16GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD,30900,https://laptopmedia.com/laptop-specs/hp-stream-14-126/,https://www.amazon.com/exec/obidos/ASIN/B0C4P29ZXH?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-12450H,32GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W, 6GB)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,83200,https://laptopmedia.com/laptop-specs/hp-victus-15-1844/,https://www.amazon.com/exec/obidos/ASIN/B0D857R5LV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i7-1165G7,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,113999,https://laptopmedia.com/laptop-specs/hp-15-13545/,https://www.amazon.com/exec/obidos/ASIN/B0BKZLRGG1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,Intel Core i5-13420H,8GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W, 6GB)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,119900,https://laptopmedia.com/laptop-specs/hp-victus-15-1695/,https://www.amazon.com/exec/obidos/ASIN/B0CNMY9QQ8?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1235U,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,69999,https://laptopmedia.com/laptop-specs/hp-15-20824/,https://www.amazon.com/exec/obidos/ASIN/B0DXQGZD1Y?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Processor N200,32GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, HD (1366 x 768), TN",128GB SSD,43900,https://laptopmedia.com/laptop-specs/hp-15-20694/,https://www.amazon.com/exec/obidos/ASIN/B0DRCRQMH8?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,44900,https://laptopmedia.com/laptop-specs/hp-15-20580/,https://www.amazon.com/exec/obidos/ASIN/B0DP8PKF2V?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,AMD Ryzen 5 7530U,24GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, HD+ (1600 x 900), TN",1000GB SSD,71900,https://laptopmedia.com/laptop-specs/hp-17-18527/,https://www.amazon.com/exec/obidos/ASIN/B0DPZSN31Y?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP ENVY x360 16,AMD Ryzen 7 8840HS,16GB RAM,AMD Radeon 780M,"16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,94699,https://laptopmedia.com/laptop-specs/hp-envy-x360-16-420/,https://www.amazon.com/exec/obidos/ASIN/B0DDNQGYL3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Celeron N4500,16GB RAM,Intel UHD Graphics (Jasper Lake 16 EU),"14.0”, HD (1366 x 768), TN",2000GB SSD,51900,https://laptopmedia.com/laptop-specs/hp-14-9637/,https://www.amazon.com/exec/obidos/ASIN/B0F7RFTPC8?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Pavilion Plus 14,Intel Core Ultra 5 125H,16GB RAM,Intel Arc (7-Cores),"14.0”, WQXGA (2560 x 1600), 120 Hz (VRR), IPS",4000GB SSD,106999,https://laptopmedia.com/laptop-specs/hp-pavilion-plus-14-219/,https://www.amazon.com/exec/obidos/ASIN/B0D954DGXR?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,87900,https://laptopmedia.com/laptop-specs/hp-14-9504/,https://www.amazon.com/exec/obidos/ASIN/B0DK6FLHHN?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Victus 15,AMD Ryzen 5 7535HS,8GB RAM,AMD Radeon RX 6550M,"15.6”, Full HD (1920 x 1080), 144 Hz, IPS",512GB SSD,61999,https://laptopmedia.com/laptop-specs/hp-victus-15-3266/,https://www.amazon.com/exec/obidos/ASIN/B0DK3FD1DC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Processor N200,4GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, HD (1366 x 768), TN",128GB SSD,32898,https://laptopmedia.com/laptop-specs/hp-15-22696/,https://www.amazon.com/exec/obidos/ASIN/B0DK7NQFNS?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i3-1315U,16GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",1000GB SSD,63900,https://laptopmedia.com/laptop-specs/hp-15-22436/,https://www.amazon.com/exec/obidos/ASIN/B0F9NX6MCY?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP Pavilion 15,Intel Core i7-1355U,32GB RAM,NVIDIA GeForce MX550,"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,78999,https://laptopmedia.com/laptop-specs/hp-pavilion-15-3998/,https://www.amazon.com/exec/obidos/ASIN/B0C6V24JDM?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 250 G10 / 255 G10,AMD Ryzen 5 7530U,32GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), TN",1000GB SSD,57900,https://laptopmedia.com/laptop-specs/hp-250-g10-255-g10-435/,https://www.amazon.com/exec/obidos/ASIN/B0DP2XY9MX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Celeron N4120,16GB RAM,Intel UHD Graphics 600,"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,36999,https://laptopmedia.com/laptop-specs/hp-15-22353/,https://www.amazon.com/exec/obidos/ASIN/B0F9BCHTYP?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,4GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,45999,https://laptopmedia.com/laptop-specs/hp-14-9042/,https://www.amazon.com/exec/obidos/ASIN/B0F1C7FZPT?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,AMD Ryzen 5 5500U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, Full HD (1920 x 1080), IPS",256GB SSD,43999,https://laptopmedia.com/laptop-specs/hp-17-19880/,https://www.amazon.com/exec/obidos/ASIN/B0D7Q1Z1TK?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
